fname,mname,lname,studentNo,dob,address,mobile,email,faculty
Ana,Peace,Hodge,2344853007,05-Nov-05,"100 Newbridge Street, Wayne, NJ 07470",(607) 603-5465,hodgeAN@myuni.db,Engineering
Evangeline,Renae,Li,2344990804,22-Sep-96,"8222 Glendale Ave., North Fort Myers, FL 33917",(636) 249-9393,liEV@myuni.db,Agriculture
Rachel,Roberta,Justice,2344767786,20-Mar-95,"7235 Ocean Court, Spring Hill, FL 34608",(664) 728-8449,justiceRA@myuni.db,Engineering
Rowan,Shifra,Glass,2344506712,13-Sep-05,"9 Studebaker Ave., Maspeth, NY 11378",(797) 410-5214,glassRO@myuni.db,Architecture
Elise,Silver,Willis,2344977899,08-Feb-97,"9022 Liberty Rd., Council Bluffs, IA 51501",(858) 616-6008,willisEL@myuni.db,Engineering
Lilah,Tenzin,Hester,2344346279,13-Jan-05,"91 Adams St., Glen Ellyn, IL 60137",(438) 277-5807,hesterLI@myuni.db,Arts
Phoebe,Una,Floyd,2344242575,30-Nov-95,"14 Grant St., Williamsport, PA 17701",(358) 397-7007,floydPH@myuni.db,Humanities
Sydney,Weslyn,Fischer,2344200396,17-Aug-97,"46 Evergreen Street, Hampton, VA 23666",(841) 759-3753,fischerSY@myuni.db,Science
Wren,Zahira,Norman,2344268678,11-Dec-97,"660 Hamilton Drive, Alpharetta, GA 30004",(795) 634-9789,normanWR@myuni.db,Arts
Vanessa,Aaradhya,Chan,2344831497,24-Jun-99,"7016 Bedford Ave., Alliance, OH 44601",(750) 909-9019,chanVA@myuni.db,Agriculture
Kayla,Adelin,Hunt,2344698827,07-Aug-03,"9461 Sutor Lane, Marcus Hook, PA 19061",(910) 392-7441,huntKA@myuni.db,Social Work
Elaina,Alexi,Byrd,2344396297,19-Mar-00,"7101 John Street, Pueblo, CO 81001",(959) 668-1120,byrdEL@myuni.db,Architecture
Brooke,Analee,Lane,2344662471,06-Feb-99,"161 Beech Ave., Snohomish, WA 98290",(396) 350-0579,laneBR@myuni.db,Humanities
Miriam,Annastasia,Kaplan,2344943152,28-Jul-95,"184 Vermont St., Saint Joseph, MI 49085",(212) 496-6796,kaplanMI@myuni.db,Agriculture
Adelaide,Azaleah,Heller,2344937508,07-Sep-95,"400 East Wild Horse Drive, Goodlettsville, TN 37072",(385) 524-7883,hellerAD@myuni.db,Science
Jane,Brecklyn,Jennings,2344681857,02-Aug-02,"9244 Albany Ave., West New York, NJ 07093",(733) 934-5869,jenningsJA@myuni.db,Science
Journey,Cing,Hanna,2344160711,20-Jan-02,"804 Lilac Ave., Tiffin, OH 44883",(213) 724-3831,hannaJO@myuni.db,Social Work
Delaney,Daya,Locklear,2344989630,14-Mar-01,"47 Gartner Street, Snellville, GA 30039",(767) 286-4751,locklearDE@myuni.db,Social Work
Mya,Emmarose,Holloway,2344421093,25-Apr-05,"7007 Colonial St., Rossville, GA 30741",(572) 827-1917,hollowayMY@myuni.db,Humanities
Alivia,Evolet,Glover,2344219365,05-Jan-97,"660 Kirkland Ave., Saint Augustine, FL 32084",(716) 860-3108,gloverAL@myuni.db,Engineering
Kailani,Ginger,Donnell,2344727665,03-Jun-00,"5 Mammoth Dr., Statesville, NC 28625",(321) 692-1925,donnellKA@myuni.db,Engineering
Trinity,Hilda,Goldman,2344953292,10-Sep-98,"7901 Talbot Ave., Amityville, NY 11701",(897) 623-2508,goldmanTR@myuni.db,Architecture
Tatum,Idy,McKenna,2344925483,06-Jul-97,"7215 W. Nicolls St., Duluth, GA 30096",(331) 993-2131,mckennaTA@myuni.db,Architecture
Camille,Kaileen,Starr,2344981407,25-Aug-05,"9896 East Ave., Round Lake, IL 60073",(475) 503-9865,starrCA@myuni.db,Science
Kali,Kalise,Stone,2344749403,13-Mar-95,"310 Arnold Dr., Bergenfield, NJ 07621",(512) 908-3132,stoneKA@myuni.db,Social Work
Maggie,Lilibeth,McClure,2344718037,27-Nov-03,"884 South Hillside St., Westford, MA 01886",(537) 764-9009,mcclureMA@myuni.db,Architecture
Tessa,Livvy,Watson,2344548244,28-Jun-05,"483 North San Pablo Street, Calhoun, GA 30701",(272) 980-5373,watsonTE@myuni.db,Social Work
Adaline,Marcelina,Abbott,2344668018,06-Oct-02,"7854 Ocean Ave., Oxford, MS 38655",(370) 715-6435,abbottAD@myuni.db,Engineering
Joanna,Naisha,Singer,2344568055,30-Oct-99,"93 Roehampton Ave., Plattsburgh, NY 12901",(688) 564-7714,singerJO@myuni.db,Agriculture
Lena,Nilah,Farrell,2344951124,26-Dec-97,"9826 Glenholme Lane, Lacey, WA 98503",(402) 701-5616,farrellLE@myuni.db,Science
Juliet,Rozlyn,Atkins,2344916658,23-May-98,"94 Cherry Hill Street, Chelmsford, MA 01824",(948) 716-1371,atkinsJU@myuni.db,Architecture
Cataleya,Taleah,Sykes,2344928773,06-May-98,"8562 W. Sulphur Springs Dr., Pomona, CA 91768",(560) 975-2100,sykesCA@myuni.db,Humanities
Leia,Zakiya,Reid,2344301005,05-Jul-04,"8043 Leatherwood Lane, Ridgewood, NJ 07450",(412) 208-3391,reidLE@myuni.db,Humanities
Julianna,Adrielle,Finch,2344205600,29-Oct-02,"954 Proctor Rd., Ridgecrest, CA 93555",(923) 546-2764,finchJU@myuni.db,Science
Talia,Aine,Hobbs,2344795080,08-Jul-05,"12 Myers Street, Carpentersville, IL 60110",(247) 471-0844,hobbsTA@myuni.db,Social Work
Kendall,Amarii,Adkins,2344240727,02-Apr-00,"8014 Riverview Lane, Alexandria, VA 22304",(484) 751-9771,adkinsKE@myuni.db,Social Work
Lia,Arha,Kinney,2344391433,13-Feb-03,"8975 Lake View Rd., Evans, GA 30809",(687) 779-2822,kinneyLI@myuni.db,Social Work
Dahlia,Bayan,Whitaker,2344987855,13-Feb-99,"32 SW. Sutor Road, Brookfield, WI 53045",(631) 521-0886,whitakerDA@myuni.db,Engineering
Camilla,Brelynn,Alexander,2344994850,20-Jul-04,"8156 W. Cardinal St., Clarksville, TN 37040",(568) 531-5928,alexanderCA@myuni.db,Science
Jayla,Carmyn,Conner,2344147447,18-May-02,"7914 South Fremont Avenue, Woburn, MA 01801",(969) 856-2195,connerJA@myuni.db,Science
Blair,Cristal,Waters,2344132014,29-Nov-95,"334 Thomas St., Commack, NY 11725",(513) 411-0933,watersBL@myuni.db,Engineering
Hallie,Dia,Becker,2344625309,09-Dec-96,"345 Jennings Ave., Columbus, GA 31904",(726) 532-1989,beckerHA@myuni.db,Humanities
Mckenna,Erielle,Rollins,2344248930,14-Nov-02,"9342 Bridge Drive, Norwood, MA 02062",(537) 608-2809,rollinsMC@myuni.db,Science
Ophelia,Evelynne,Black,2344530454,11-Jun-99,"708 Court Ave., Groton, CT 06340",(670) 545-8458,blackOP@myuni.db,Humanities
Alayah,Fae,Fox,2344534014,15-Aug-05,"1 Galvin St., Great Falls, MT 59404",(544) 300-2190,foxAL@myuni.db,Science
Catherine,Haizlee,Hatcher,2344403618,26-Nov-01,"39 Laurel St., San Carlos, CA 94070",(759) 677-7333,hatcherCA@myuni.db,Architecture
Nina,Kambri,Wu,2344807271,08-Jun-97,"396 County St., Morristown, NJ 07960",(211) 304-1156,wuNI@myuni.db,Agriculture
Palmer,Khori,Lloyd,2344950074,29-Sep-04,"9376 W. High Ridge Avenue, Pembroke Pines, FL 33028",(716) 928-1210,lloydPA@myuni.db,Architecture
Mckenzie,Leiana,Joyce,2344612917,06-Sep-98,"30 Academy Avenue, Oakland Gardens, NY 11364",(774) 755-3658,joyceMC@myuni.db,Agriculture
Amari,Lynnox,Welch,2344770700,14-Feb-01,"7925 Sleepy Hollow Lane, Roy, UT 84067",(651) 985-3458,welchAM@myuni.db,Architecture
Gracelynn,Mariya,Matthews,2344622118,01-Jan-97,"42 Crescent Rd., East Hartford, CT 06118",(426) 808-7089,matthewsGR@myuni.db,Arts
Cali,Moon,Chappell,2344242511,23-Mar-01,"9524 Bald Hill St., Palm Coast, FL 32137",(610) 542-2212,chappellCA@myuni.db,Social Work
Aniyah,Nailani,MacDonald,2344414385,07-Feb-05,"9669 Tanglewood Court, Ada, OK 74820",(821) 754-3769,macdonaldAN@myuni.db,Humanities
Alexis,Phoenyx,Kane,2344805434,22-Jun-02,"218 Longbranch Drive, Hillsborough, NJ 08844",(383) 925-9108,kaneAL@myuni.db,Arts
Gabriela,Raylan,Butler,2344572466,20-Mar-04,"7081 Washington Avenue, Yuba City, CA 95993",(860) 428-8101,butlerGA@myuni.db,Agriculture
Amina,Safiyah,Pickett,2344164627,16-Apr-96,"980 Glen Creek Lane, Mahwah, NJ 07430",(569) 355-1981,pickettAM@myuni.db,Humanities
Adelynn,Sevynn,Kennedy,2344211056,08-Oct-98,"8906 South St Margarets Lane, Morgantown, WV 26508",(551) 802-8653,kennedyAD@myuni.db,Architecture
Reign,Sommer,Thornton,2344795845,21-Dec-04,"8393 Carriage St., Clayton, NC 27520",(652) 537-6617,thorntonRE@myuni.db,Science
Dream,Tirzah,McNeill,2344374844,30-Jul-98,"379 Brown Dr., Defiance, OH 43512",(279) 391-5312,mcneillDR@myuni.db,Architecture
Willa,Xaila,Weinstein,2344786248,24-May-99,"8636 S. Fawn Ave., Rock Hill, SC 29730",(412) 814-6817,weinsteinWI@myuni.db,Science
Makayla,Yohana,Moss,2344160716,07-Dec-95,"24 Rosewood Lane, Elizabethtown, PA 17022",(848) 451-8725,mossMA@myuni.db,Engineering
Elle,Allegra,Carlton,2344492407,16-Nov-01,"8300 State St., Grovetown, GA 30813",(915) 755-4278,carltonEL@myuni.db,Humanities
Arielle,Anabia,Schultz,2344193356,04-Mar-02,"663 Boston Ave., Forney, TX 75126",(227) 274-3068,schultzAR@myuni.db,Social Work
Giselle,Avielle,Nichols,2344187236,27-Jul-98,"7039 Kingston Ave., Brentwood, NY 11717",(784) 626-1117,nicholsGI@myuni.db,Humanities
